"89";"4";"Linked Partners";"Linked Partners";"linked-partners";"2010";"20.000.000 - 50.000.000";"1 - 10";"Local";"6 rue 2 x rue B point E, dakar";"5485";"21";"33 892 40 00";"contact@linkedpartners.com";"img/companies/2013/1/89.png";"2013-12-07 13:12:26";"1";;"www.linkedpartners.com";;"0";"18";"1";"1";"1";"20";"14.697699";"-17.463825";"13229";"104";"0";"0";"9"
"90";"1";"CBAO";"CBAO Group Attijariwafa Bank";"cbao";"1853";"500.000.000.000 - 1.000.000.000.000";"1.000 - 5.000";"International";"1, Place de l'indépendance , DAKAR";"129";"21";"33 849 96 96";"contact@cbao.sn";"img/companies/2015/1/90.jpg";"2013-12-07 16:32:54";"1";;"www.cbao.sn";"Abdelkrim Raghni (DG)";"0";"18";"2";"1";"1";"21";"14.669510";"-17.432034";"8460";"107";"0";"0";"1"
"91";"10";"Eydon Petroleum ";"Eydon Petroleum ";"eydon-petroleum";"2007";"10.000.000.000 - 50.000.000.000";"100 - 200";"Local";"Dakar, Senegal";"25770";"5";"33 889 51 70";"contact@eydon.com";"img/companies/2015/1/91.png";"2013-12-10 19:27:19";"1";;"www.eydon.com";"Papa Moctar Sarr (CEO)";"1";"561";"60";"1";"1";"21";"14.667688";"-17.440449";"19616";"416";"0";"0";"29"
"92";"5";"KPMG Sénégal";"Klynveld Peat Marwick Goerdeler";"kpmg";"1980";"5.000.000.000 - 10.000.000.000";"50 - 100";"International";"boulevard de la république, dakar, sénégal";;"Inc";"33 849 27 27";"contact@kpmg.sn";"img/companies/2013/1/92.jpg";"2013-12-11 11:14:13";"1";;"www.kpmg.sn";;"0";"561";"1";"1";"1";"21";"14.667512";"-17.442932";"8631";"205";"0";"0";"5"
"95";"0";"SGBS";"Société Générale de Banques au Sénégal";"sgbs";"1962";"n/a";"200 - 500";"International";"19, Avenue Président Léopold Sédar Senghor, Dakar, Senegal";;"Inc";"33 839 39 39";"contact@sgbs.sn";"img/companies/2014/1/95.png";"2014-01-10 19:57:26";"1";;"www.sgbs.sn";;"0";"18";"2";"1";"1";"21";"14.667018";"-17.432539";"4733";"69";"0";"0";"4"
"96";"0";"BICIS";"Banque Internationale pour le Commerce et l'Industrie du Sénégal";"bicis";"1962";"500.000.000-1.000.000.000";"200";"International";"Place independance,Dakar,senegal";"29";"SA";"33 839 03 90";"contact@bicis.sn";"img/companies/2014/1/96.png";"2014-01-13 16:00:19";"1";;"www.bicis.sn";;"0";"18";"60";"1";"1";"0";"14.668059";"-17.432537";"5574";"63";"0";"0";"1"
"97";"10";"Orange Sénégal";"Orange Sénégal ";"orange";"1960";"500.000.000.000 - 1.000.000.000.000";"1.000 - 5.000";"International";"Cathedrale,dakar";"2352";"SA";"33 839 12 00";"contact@orange.sn";"img/companies/2015/1/97.jpg";"2014-01-20 12:26:32";"1";;"www.orange.sn";"Alioune Ndiaye (DG)";"1";"561";"57";"1";"1";"21";"14.711008";"-17.471144";"22076";"432";"0";"0";"34"
"98";"0";"SENELEC";"Société Nationale d'Electricité du Sénégal";"senelec";"1960";"5.000.000.000 - 10.000.000.000";"500";"Local";"rue Vincens,dakar";"93";"SA";"33 839 30 30";"webmaster@senelec.sn";"img/companies/2014/1/98.jpg";"2014-01-20 18:36:36";"1";;"www.senelec.sn";;"0";"18";"60";"1";"1";"0";"14.673393";"-17.434568";"4532";"76";"0";"0";"3"
"99";"0";"SDE";"Sénégalaise des Eaux";"sde";"1996";" 1.000.000.000 - 5.000.000.000";"500";"Local";"Hann route de Front de terre";"224";"SA";" 33 839 37 37";"eau@sde.sn";"img/companies/2014/1/99.png";"2014-01-21 10:35:35";"1";;"www.sde.sn";;"0";"18";"83";"1";"1";"0";"14.726874";"-17.443848";"1634";"59";"0";"0";"4"
"100";"0";"LA POSTE";"La Poste";"la-poste";"1960";"100.000.000-500.000.000";"200";"International";"poste thiaroye";"1025";"SA";"33 823 53 58";"contact@laposte.sn";"img/companies/2014/1/100.jpg";"2014-01-21 11:50:19";"1";;"www.laposte.sn";;"0";"18";"5";"1";"1";"0";"14.745946";"-17.378117";"3980";"62";"0";"0";"3"
"101";"0";"ELTON Oil";"Elton Oil";"elton-oil";"2000";"50.000.000-100.000.0000";"100";"Local";"Avenue Fadiga,dakar";"11325";"SA";"33 849 77 00";"contact@eltonoil.sn";"img/companies/2014/1/101.jpg";"2014-01-22 12:19:14";"1";;"www.eltonoil.com";;"0";"18";"60";"1";"1";"0";"14.670888";"-17.426647";"1613";"56";"0";"0";"1"
