UserId,JobId,Rating
262,27,5
677,108,5
1156,21,4
275,105,4
1006,64,1
453,17,3
1091,63,4
861,28,3
844,126,5
656,56,4
830,121,5
597,138,2
159,31,4
390,57,4
964,69,4
1078,103,5
783,22,2
487,121,5
207,108,3
1141,133,4
1012,89,3
300,21,4
151,28,3
197,117,4
508,94,2
533,40,2
334,136,5
911,49,5
84,110,4
864,123,4
45,115,3
797,65,5
379,52,5
1168,90,4
921,11,5
454,37,3
778,39,4
74,27,5
1018,114,5
503,35,5
279,119,2
429,70,4
83,30,5
669,79,5
1036,128,3
483,104,5
443,17,1
1145,36,4
990,90,5
163,75,2
295,132,2
959,46,4
862,21,4
590,67,4
1130,83,4
324,45,3
755,110,3
325,45,2
1003,86,3
752,58,5
704,114,5
529,88,2
811,29,2
799,106,5
481,101,2
727,140,5
974,120,4
332,123,4
454,49,4
644,69,4
655,127,4
70,96,5
630,52,3
170,60,3
396,92,3
1045,137,3
1058,78,3
663,132,5
65,57,4
1085,59,5
1193,44,4
942,118,4
67,102,3
158,53,2
643,82,5
385,22,5
1021,11,5
747,101,4
498,38,5
326,46,4
700,59,4
1062,108,4
980,75,1
765,34,5
54,72,4
1091,20,4
968,108,1
634,53,3
848,94,2
1122,103,3
217,48,1
143,113,4
225,78,1
761,61,5
302,41,5
808,43,2
1005,77,2
590,81,2
939,59,4
655,71,4
585,32,4
1049,57,4
117,126,4
401,108,2
145,72,2
258,118,4
709,92,5
403,59,2
719,114,4
340,112,4
1192,49,4
58,10,5
306,73,5
585,120,3
243,93,4
206,67,3
986,94,3
1135,43,5
240,79,5
186,67,1
477,47,5
265,15,5
378,69,4
1121,61,5
1173,38,4
130,96,4
520,87,5
496,100,2
218,88,3
862,17,4
400,14,3
456,84,1
758,21,3
812,65,5
150,56,3
455,50,4
787,66,4
401,113,4
70,24,4
488,102,5
1139,131,2
70,41,1
147,56,2
563,124,3
472,36,1
80,117,4
211,102,1
1185,125,1
405,86,4
483,133,4
573,46,4
486,104,4
1022,126,5
1022,54,3
833,102,4
623,85,4
375,108,5
239,60,4
477,28,2
623,111,3
741,55,4
927,82,4
945,80,5
635,54,5
575,95,5
460,127,1
917,119,4
235,103,4
554,125,4
510,106,2
125,83,3
1153,45,5
740,64,4
842,29,1
1180,80,2
932,118,4
960,83,4
1094,59,5
99,121,1
1131,56,2
1077,136,2
984,21,5
1061,126,3
345,106,3
92,73,3
1098,32,4
774,84,4
105,91,5
455,51,5
695,60,4
62,88,4
862,93,3
584,34,3
680,21,4
639,55,4
772,24,5
926,80,3
1105,73,4
1185,89,4
1134,124,4
779,89,2
617,18,5
426,99,4
389,66,5
286,48,4
763,52,3
601,41,2
913,43,5
261,73,5
339,63,2
826,90,4
172,117,3
342,17,4
500,10,4
504,21,4
242,121,5
613,97,4
362,92,5
413,136,3
536,132,4
1043,137,4
723,131,3
816,82,4
457,102,3
109,12,4
440,53,4
58,39,5
708,72,1
228,89,5
365,107,3
603,129,4
728,92,3
498,46,5
246,95,5
1016,119,3
797,79,1
176,124,1
701,53,1
511,65,5
358,99,5
1141,116,5
730,11,4
390,122,3
398,114,4
891,135,5
944,41,4
1177,95,5
384,93,3
676,47,1
829,44,2
976,38,5
921,10,4
878,137,3
160,69,1
1156,117,1
283,42,3
465,50,4
1114,134,4
126,126,3
169,61,5
767,116,3
287,94,5
373,117,4
428,83,1
571,60,4
836,67,3
67,69,4
1123,20,1
981,60,5
482,95,5
1120,44,3
564,125,4
1030,69,4
527,114,4
1142,42,4
400,23,3
809,94,3
1149,28,4
330,74,3
725,44,3
910,23,4
982,135,3
60,99,4
368,95,3
992,123,4
956,107,3
644,33,3
94,77,2
819,22,3
915,110,5
360,48,4
765,57,3
895,110,4
967,95,3
524,61,4
571,100,2
200,92,5
405,64,4
602,133,2
480,99,3
1027,55,1
691,38,4
796,77,4
847,63,5
636,111,1
927,61,4
1065,131,4
341,127,1
854,72,5
1162,96,3
420,88,3
1005,53,4
213,53,5
182,70,5
479,118,4
537,130,4
573,25,3
863,61,5
623,92,3
603,86,5
779,131,4
750,23,4
589,125,4
189,51,4
557,129,4
1168,85,5
116,120,4
524,86,3
839,74,2
919,133,1
1045,103,5
878,139,4
1078,20,4
427,19,3
814,104,3
212,48,2
673,62,3
1179,131,4
358,30,3
499,69,4
829,97,4
692,84,1
392,62,3
923,131,5
412,129,3
405,41,4
1066,135,5
334,42,3
509,116,3
642,128,4
778,122,1
474,38,3
250,139,2
85,87,2
609,67,4
197,110,5
314,56,4
1125,59,4
507,14,5
762,139,4
310,67,2
1172,113,3
345,75,3
875,130,3
723,129,5
353,135,4
218,46,4
933,89,4
119,41,4
765,18,2
631,134,4
188,103,5
99,123,4
1045,111,3
220,117,3
503,95,5
495,116,4
91,100,1
333,14,5
517,126,4
676,24,4
569,117,3
118,73,1
166,36,3
415,117,5
632,103,5
351,71,5
1192,129,4
360,122,4
215,88,4
111,125,4
775,133,5
736,43,1
658,77,1
247,72,4
446,39,2
333,92,4
326,88,3
373,119,4
604,114,4
518,11,5
447,87,5
1086,85,5
348,140,3
1023,114,2
561,55,3
1088,110,2
52,124,4
739,62,5
651,134,5
1014,73,5
814,105,3
396,110,5
148,56,2
509,15,3
504,32,5
240,54,4
1009,45,3
331,20,3
1112,128,4
608,122,1
639,40,2
403,92,4
469,109,4
936,124,4
194,65,3
474,108,4
72,28,3
1018,59,4
1183,21,4
507,125,4
706,51,4
179,37,4
1182,135,3
1169,136,4
820,107,3
258,85,1
1091,110,4
110,73,2
207,31,5
1198,68,2
855,23,4
1058,103,3
604,63,4
1108,115,4
291,41,4
1077,22,5
1072,85,3
540,60,5
1053,69,4
1030,76,4
706,34,4
319,114,3
517,61,4
965,86,4
1037,27,5
375,69,3
232,77,4
487,45,4
722,102,4
568,129,4
1156,59,3
380,140,4
419,113,4
899,112,5
799,136,5
759,92,4
512,139,1
666,85,4
51,39,3
932,96,3
929,71,4
627,18,4
1043,112,2
865,130,4
580,68,3
434,66,4
548,19,1
884,55,5
270,33,4
475,53,3
190,61,5
879,89,3
1152,56,4
439,139,4
1149,92,3
1028,11,4
587,43,3
1080,55,1
200,39,4
364,20,3
756,90,4
886,108,4
1120,30,3
1195,117,4
1165,37,4
296,39,3
156,67,5
767,114,4
1092,36,4
888,132,4
614,19,2
833,124,5
1061,60,4
879,81,3
339,76,1
581,31,1
504,65,4
1137,95,1
89,31,1
820,136,5
991,59,5
70,37,3
167,34,3
699,108,5
499,52,2
1006,93,4
1085,52,2
663,40,1
711,19,3
365,105,5
58,105,5
151,20,3
135,138,2
521,56,4
876,21,4
90,17,4
1193,110,5
898,88,4
1200,105,4
140,11,3
675,131,2
793,114,2
825,38,3
529,44,3
388,111,5
886,123,4
668,57,4
429,103,3
390,133,4
632,68,4
790,86,5
98,19,4
284,71,4
294,22,5
