,Predicted Rating
4,3.47979305858
58,3.40366593597
3,3.39785457264
113,3.39295985824
120,3.37272718416
23,3.3489547811
96,3.34725701794
37,3.34528372733
78,3.34439401386
38,3.34265541203
106,3.33527803308
34,3.33351636281
83,3.33228939754
26,3.31000328752
115,3.30647469343
73,3.3004694424
126,3.29992007684
7,3.29979193681
125,3.29972716333
145,3.29841081499
66,3.29581779081
20,3.29461198
146,3.29280026182
140,3.29226434898
77,3.29164996508
105,3.29123188313
36,3.28703873836
88,3.28679475958
55,3.28567217452
8,3.28531322878
39,3.28235106975
35,3.28138022611
40,3.27989929331
89,3.27921041173
21,3.27620096876
142,3.27517709737
49,3.26970575375
122,3.26895973471
12,3.26768363409
64,3.26615939731
129,3.26589096614
42,3.25605700723
80,3.25519989133
110,3.25485436618
81,3.25238406906
71,3.25209720403
28,3.25116672159
32,3.25106781571
62,3.24982266258
57,3.24955816908
148,3.24388662346
6,3.24052033098
51,3.24043835268
9,3.23839672801
128,3.23733453249
60,3.2314064703
76,3.23062591817
136,3.22986781783
41,3.22876607055
47,3.22835444279
14,3.22592835464
22,3.22556672546
141,3.22420219228
135,3.22130156295
117,3.2191947351
29,3.21915821643
134,3.21864084348
87,3.21760127402
5,3.21753135366
144,3.21564724335
149,3.21361896979
138,3.21249761518
65,3.21084316092
99,3.20896439274
33,3.20441615158
84,3.19928495134
112,3.19750619981
127,3.19659320387
11,3.19065649371
19,3.18077005488
116,3.17408867108
27,3.17227057406
75,3.17087444363
95,3.16371442753
2,3.15446414784
101,3.15281783724
132,3.14340800675
118,3.13875467759
91,3.13589253556
16,3.12071995288
0,3.10692666914
139,3.09590472134
